country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Climate Value,Climate Category,Cost of Living Value,Cost of Living Category,Property Price to Income Value,Property Price to Income Category,Traffic Commute Time Value,Traffic Commute Time Category,Pollution Value,Pollution Category,Quality of Life Value,Quality of Life Category
Afghanistan,32.15,'Very Low',25.33,'Low',24.24,'Low',0.0,None,21.08,'Very Low',7.8,'Low',56.17,'Very High',84.44,'Very High',0.0,None
Aland Islands,125.01,'Very High',71.81,'High',79.72,'High',0.0,None,53.44,'Low',5.33,'Low',19.05,'Very Low',18.05,'Very Low',0.0,None
Albania,42.82,'Low',55.52,'Moderate',48.21,'Moderate',86.43,'Very High',40.85,'Low',14.88,'High',36.74,'Moderate',77.25,'High',': 104.16','Low'
Alderney,0.0,None,83.79,'Very High',100.0,'Very High',0.0,None,0.0,None,0.0,None,5.0,'Very Low',1.72,'Very Low',0.0,None
Algeria,27.6,'Very Low',47.54,'Moderate',54.43,'Moderate',94.82,'Very High',25.31,'Very Low',21.7,'Very High',45.09,'High',63.87,'High',': 98.83','Very Low'
American Samoa,0.0,None,54.41,'Moderate',0.0,None,0.0,None,0.0,None,0.0,None,100.0,'Very High',78.45,'High',0.0,None
Andorra,121.14,'Very High',84.71,'Very High',75.56,'High',0.0,None,48.09,'Low',9.03,'Moderate',13.33,'Very Low',22.98,'Low',0.0,None
Angola,224.46,'Very High',33.71,'Low',36.58,'Low',0.0,None,42.57,'Low',8.01,'Moderate',65.43,'Very High',92.07,'Very High',0.0,None
Anguilla,0.0,None,75.44,'High',77.08,'High',0.0,None,0.0,None,1.8399999999999999,'Very Low',0.0,None,0.0,None,0.0,None
Antigua And Barbuda,0.0,None,42.86,'Moderate',30.56,'Low',0.0,None,0.0,None,0.0,None,35.0,'Moderate',43.1,'Moderate',0.0,None
Argentina,40.36,'Low',36.36,'Low',68.0,'High',98.28,'Very High',32.65,'Very Low',20.05,'Very High',44.07,'High',50.81,'Moderate',': 115.06','Low'
Armenia,36.91,'Very Low',77.81,'High',58.07,'Moderate',63.42,'High',41.84,'Low',20.95,'Very High',29.31,'Low',62.55,'High',': 116.56','Low'
Aruba,71.46,'Moderate',69.23,'High',78.7,'High',0.0,None,79.42,'High',5.32,'Low',46.33,'High',35.7,'Low',0.0,None
Australia,137.58,'Very High',52.71,'Moderate',73.35,'High',93.8,'Very High',64.5,'Moderate',8.25,'Moderate',37.48,'Moderate',26.8,'Low',': 190.69','Very High'
Austria,109.08,'High',70.38,'High',77.83,'High',77.4,'High',62.22,'Moderate',11.76,'Moderate',23.77,'Very Low',20.73,'Low',': 192.07','Very High'
Azerbaijan,41.75,'Low',68.12,'High',48.31,'Moderate',91.4,'Very High',30.26,'Very Low',15.24,'High',40.63,'Moderate',72.69,'High',': 113.51','Low'
Bahamas,58.59,'Low',43.76,'Moderate',39.52,'Low',0.0,None,81.3,'High',5.32,'Low',27.69,'Low',61.34,'High',0.0,None
Bahrain,114.56,'Very High',75.28,'High',66.6,'High',64.31,'High',48.79,'Low',4.9,'Very Low',30.74,'Low',71.57,'High',': 158.68','High'
Bangladesh,36.16,'Very Low',38.79,'Low',42.2,'Moderate',71.29,'High',20.76,'Very Low',12.26,'High',57.57,'Very High',85.31,'Very High',': 74.51','Very Low'
Barbados,46.93,'Low',55.14,'Moderate',71.88,'High',0.0,None,70.6,'Moderate',14.67,'High',36.67,'Moderate',24.39,'Low',0.0,None
Belarus,56.24,'Low',49.99,'Moderate',48.5,'Moderate',64.37,'High',25.11,'Very Low',12.79,'High',31.2,'Low',44.94,'Moderate',': 127.48','Moderate'
Belgium,118.62,'Very High',50.42,'Moderate',75.76,'High',86.03,'Very High',57.41,'Low',6.82,'Low',35.19,'Moderate',49.45,'Moderate',': 168.52','Very High'
Belize,0.0,None,47.47,'Moderate',47.37,'Moderate',0.0,None,0.0,None,6.06,'Low',12.75,'Very Low',52.8,'Moderate',0.0,None
Benin,0.0,None,62.16,'High',51.39,'Moderate',0.0,None,0.0,None,0.0,None,26.0,'Very Low',97.41,'Very High',0.0,None
Bermuda,108.79,'High',63.7,'High',70.61,'High',0.0,None,124.77,'Very High',6.85,'Low',35.7,'Moderate',14.95,'Very Low',0.0,None
Bhutan,74.38,'Moderate',70.45,'High',73.28,'High',0.0,None,24.92,'Very Low',14.07,'High',2.95,'Very Low',48.82,'Moderate',0.0,None
Bolivia,43.04,'Low',35.0,'Low',45.98,'Moderate',0.0,None,25.28,'Very Low',12.54,'High',39.94,'Moderate',71.92,'High',0.0,None
Bonaire,0.0,None,62.95,'High',0.0,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0,None
Bosnia And Herzegovina,63.66,'Moderate',58.3,'Moderate',55.62,'Moderate',80.48,'Very High',32.01,'Very Low',13.12,'High',26.15,'Very Low',59.68,'Moderate',': 134.51','Moderate'
Botswana,64.6,'Moderate',47.3,'Moderate',61.12,'High',88.87,'Very High',40.05,'Low',118.01,'Very High',28.53,'Low',46.09,'Moderate',': 36.55','Very Low'
Brazil,42.13,'Low',35.36,'Low',59.21,'Moderate',94.31,'Very High',27.14,'Very Low',15.4,'High',40.63,'Moderate',52.84,'Moderate',': 115.99','Low'
British Virgin Islands,0.0,None,59.31,'Moderate',0.0,None,0.0,None,0.0,None,0.0,None,0.0,None,68.1,'High',0.0,None
Brunei,119.26,'Very High',70.7,'High',75.37,'High',0.0,None,46.73,'Low',6.97,'Low',27.3,'Low',35.49,'Low',0.0,None
Bulgaria,77.66,'Moderate',63.73,'High',58.15,'Moderate',82.76,'Very High',35.86,'Very Low',9.22,'Moderate',29.05,'Low',62.94,'High',': 144.49','Moderate'
Burkina Faso,0.0,None,61.16,'High',49.31,'Moderate',0.0,None,0.0,None,1.25,'Very Low',50.0,'High',0.0,None,0.0,None
Burundi,0.0,None,43.44,'Moderate',34.44,'Low',0.0,None,0.0,None,20.67,'Very High',33.0,'Low',87.84,'Very High',0.0,None
Cambodia,26.95,'Very Low',48.19,'Moderate',50.71,'Moderate',59.43,'Moderate',34.38,'Very Low',26.77,'Very High',28.0,'Low',77.77,'High',': 78.92','Very Low'
Cameroon,10.02,'Very Low',34.53,'Low',45.53,'Moderate',0.0,None,37.61,'Very Low',46.06,'Very High',46.0,'High',93.71,'Very High',0.0,None
Canada,111.31,'Very High',54.34,'Moderate',68.82,'High',55.41,'Moderate',60.55,'Moderate',10.47,'Moderate',33.53,'Low',29.8,'Low',': 164.54','Very High'
Cape Verde,18.09,'Very Low',49.87,'Moderate',67.71,'High',0.0,None,38.51,'Very Low',17.12,'Very High',15.33,'Very Low',81.03,'Very High',0.0,None
Cayman Islands,123.25,'Very High',69.25,'High',62.28,'High',0.0,None,108.7,'Very High',8.64,'Moderate',18.89,'Very Low',23.96,'Low',0.0,None
Central African Republic,0.0,None,15.89,'Very Low',41.67,'Moderate',0.0,None,0.0,None,8.5,'Moderate',5.0,'Very Low',84.83,'Very High',0.0,None
Chad,20.21,'Very Low',32.16,'Low',44.21,'Moderate',0.0,None,46.23,'Low',2.69,'Very Low',6.0,'Very Low',60.56,'High',0.0,None
Chile,51.47,'Low',39.55,'Low',63.52,'High',90.21,'Very High',36.29,'Very Low',16.03,'Very High',36.04,'Moderate',77.51,'High',': 106.49','Low'
China,78.42,'Moderate',75.82,'High',68.53,'High',79.61,'High',31.23,'Very Low',28.6,'Very High',38.9,'Moderate',77.3,'High',': 120.52','Moderate'
Colombia,36.19,'Very Low',39.14,'Low',68.44,'High',96.69,'Very High',25.48,'Very Low',17.98,'Very High',47.15,'High',62.47,'High',': 107.90','Low'
Comoros,41.96,'Low',52.94,'Moderate',0.0,None,0.0,None,35.91,'Very Low',11.15,'Moderate',0.0,None,0.0,None,0.0,None
Cook Islands,0.0,None,69.08,'High',0.0,None,0.0,None,0.0,None,0.0,None,0.0,None,8.62,'Very Low',0.0,None
Costa Rica,50.9,'Low',46.04,'Moderate',64.29,'High',99.48,'Very High',50.18,'Low',9.63,'Moderate',59.99,'Very High',42.39,'Moderate',': 129.35','Moderate'
Croatia,83.85,'Moderate',74.54,'High',64.66,'High',89.23,'Very High',43.23,'Low',12.45,'High',25.79,'Very Low',31.1,'Low',': 176.02','Very High'
Cuba,2.55,'Very Low',66.02,'High',59.3,'Moderate',0.0,None,41.1,'Low',48.0,'Very High',47.89,'High',65.82,'High',0.0,None
Curacao,0.0,None,46.19,'Moderate',50.35,'Moderate',0.0,None,0.0,None,0.0,None,17.5,'Very Low',55.46,'Moderate',0.0,None
Cyprus,84.66,'Moderate',66.9,'High',57.13,'Moderate',90.87,'Very High',50.99,'Low',8.06,'Moderate',23.59,'Very Low',54.99,'Moderate',': 158.84','High'
Czech Republic,90.3,'High',73.64,'High',75.47,'High',79.1,'High',43.65,'Low',13.17,'High',29.12,'Low',34.78,'Low',': 174.21','Very High'
Democratic Republic of the Congo,25.51,'Very Low',36.16,'Low',25.69,'Low',0.0,None,50.85,'Low',37.22,'Very High',75.0,'Very High',83.22,'Very High',0.0,None
Denmark,134.75,'Very High',73.81,'High',78.5,'High',82.47,'Very High',68.9,'Moderate',6.36,'Low',27.93,'Low',20.75,'Low',': 208.65','Very High'
Djibouti,165.89,'Very High',42.74,'Moderate',0.0,None,0.0,None,76.83,'High',12.41,'High',42.67,'High',64.6,'High',0.0,None
Dominica,32.92,'Very Low',46.42,'Moderate',36.57,'Low',0.0,None,50.36,'Low',0.64,'Very Low',0.0,None,20.69,'Low',0.0,None
Dominican Republic,31.82,'Very Low',39.4,'Low',58.26,'Moderate',67.82,'High',34.75,'Very Low',16.89,'Very High',40.69,'Moderate',72.8,'High',': 89.09','Very Low'
Ecuador,45.93,'Low',37.57,'Low',75.39,'High',94.51,'Very High',30.28,'Very Low',12.0,'High',37.68,'Moderate',59.05,'Moderate',': 125.58','Moderate'
Egypt,21.15,'Very Low',52.64,'Moderate',47.32,'Moderate',91.98,'Very High',19.46,'Very Low',17.85,'Very High',48.1,'High',82.67,'Very High',': 85.41','Very Low'
El Salvador,33.72,'Very Low',40.58,'Moderate',51.67,'Moderate',86.6,'Very High',38.13,'Very Low',16.0,'Very High',40.39,'Moderate',75.37,'High',': 93.05','Very Low'
Equatorial Guinea,30.87,'Very Low',52.16,'Moderate',42.59,'Moderate',0.0,None,51.87,'Low',7.15,'Low',20.5,'Very Low',59.85,'Moderate',0.0,None
Eritrea,58.05,'Low',72.86,'High',55.56,'Moderate',0.0,None,53.58,'Low',4.41,'Very Low',0.0,None,15.52,'Very Low',0.0,None
Estonia,83.91,'Moderate',76.37,'High',75.93,'High',64.28,'High',50.4,'Low',11.27,'Moderate',21.57,'Very Low',17.02,'Very Low',': 185.10','Very High'
Eswatini,64.57,'Moderate',56.45,'Moderate',61.11,'High',0.0,None,24.22,'Very Low',2.8200000000000003,'Very Low',31.0,'Low',32.07,'Low',0.0,None
Ethiopia,13.59,'Very Low',49.1,'Moderate',53.46,'Moderate',96.82,'Very High',43.89,'Low',49.87,'Very High',63.36,'Very High',73.24,'High',': 48.88','Very Low'
Falkland Islands,0.0,None,55.64,'Moderate',0.0,None,0.0,None,0.0,None,0.0,None,40.0,'Moderate',3.45,'Very Low',0.0,None
Faroe Islands,0.0,None,83.57,'Very High',65.08,'High',0.0,None,0.0,None,8.75,'Moderate',0.0,None,4.91,'Very Low',0.0,None
Fiji,57.77,'Low',43.44,'Moderate',48.18,'Moderate',71.89,'High',33.42,'Very Low',6.51,'Low',40.93,'Moderate',53.44,'Moderate',': 122.12','Moderate'
Finland,126.13,'Very High',73.57,'High',77.57,'High',58.87,'Moderate',60.04,'Moderate',8.16,'Moderate',25.56,'Very Low',11.83,'Very Low',': 203.06','Very High'
France,111.7,'Very High',44.56,'Moderate',77.78,'High',89.71,'Very High',59.48,'Low',10.55,'Moderate',34.72,'Low',43.56,'Moderate',': 165.08','Very High'
French Guiana,0.0,None,36.87,'Low',55.56,'Moderate',0.0,None,0.0,None,8.04,'Moderate',27.5,'Low',37.3,'Low',0.0,None
French Polynesia,0.0,None,79.04,'High',96.3,'Very High',0.0,None,0.0,None,29.58,'Very High',30.0,'Low',52.3,'Moderate',0.0,None
French Southern Territories,0.0,None,53.68,'Moderate',38.89,'Low',0.0,None,0.0,None,0.0,None,16.0,'Very Low',37.7,'Low',0.0,None
Gabon,20.07,'Very Low',39.86,'Low',31.48,'Low',0.0,None,48.7,'Low',69.71,'Very High',16.35,'Very Low',76.47,'High',0.0,None
Gambia,7.25,'Very Low',40.88,'Moderate',66.67,'High',0.0,None,27.72,'Very Low',103.29,'Very High',65.0,'Very High',61.67,'High',0.0,None
Georgia,40.6,'Low',73.9,'High',56.34,'Moderate',88.53,'Very High',32.0,'Very Low',12.21,'High',38.63,'Moderate',67.54,'High',': 125.48','Moderate'
Germany,130.01,'Very High',60.77,'High',71.97,'High',83.3,'Very High',59.56,'Low',9.12,'Moderate',29.82,'Low',28.81,'Low',': 189.75','Very High'
Ghana,17.4,'Very Low',54.65,'Moderate',57.38,'Moderate',67.03,'High',30.49,'Very Low',81.28,'Very High',39.67,'Moderate',86.91,'Very High',': 17.47','Very Low'
Gibraltar,103.02,'High',79.77,'High',67.13,'High',0.0,None,59.05,'Low',16.0,'Very High',16.2,'Very Low',61.64,'High',0.0,None
Greece,59.69,'Low',53.44,'Moderate',58.2,'Moderate',91.79,'Very High',47.78,'Low',12.72,'High',33.53,'Low',50.07,'Moderate',': 136.83','Moderate'
Greenland,139.14,'Very High',62.16,'High',51.39,'Moderate',0.0,None,83.09,'High',4.75,'Very Low',34.59,'Low',77.11,'High',0.0,None
Grenada,31.88,'Very Low',75.07,'High',65.28,'High',0.0,None,75.44,'High',175.23,'Very High',40.0,'Moderate',49.18,'Moderate',0.0,None
Guadeloupe,120.6,'Very High',72.18,'High',93.06,'Very High',0.0,None,57.98,'Low',9.65,'Moderate',0.0,None,75.86,'High',0.0,None
Guam,0.0,None,36.34,'Low',36.19,'Low',0.0,None,0.0,None,0.0,None,30.0,'Low',51.83,'Moderate',0.0,None
Guatemala,40.26,'Low',41.92,'Moderate',67.33,'High',99.89,'Very High',36.67,'Very Low',11.44,'Moderate',50.58,'High',73.47,'High',': 107.92','Low'
Guernsey,142.95,'Very High',76.14,'High',61.11,'High',0.0,None,66.48,'Moderate',9.66,'Moderate',16.25,'Very Low',11.49,'Very Low',0.0,None
Guinea,0.0,None,39.95,'Low',100.0,'Very High',0.0,None,0.0,None,0.68,'Very Low',0.0,None,106.67,'Very High',0.0,None
Guinea-Bissau,76.11,'Moderate',48.18,'Moderate',51.39,'Moderate',0.0,None,39.6,'Very Low',7.13,'Low',20.0,'Very Low',0.0,None,0.0,None
Guyana,35.0,'Very Low',33.65,'Low',37.65,'Low',0.0,None,44.46,'Low',19.72,'Very High',52.0,'High',60.09,'High',0.0,None
Haiti,77.7,'Moderate',21.41,'Low',32.72,'Low',0.0,None,51.39,'Low',5.5,'Low',80.67,'Very High',94.3,'Very High',0.0,None
Honduras,43.68,'Low',27.75,'Low',37.83,'Low',0.0,None,34.39,'Very Low',6.36,'Low',19.7,'Very Low',75.52,'High',0.0,None
Hong Kong (China),108.13,'High',78.49,'High',66.06,'High',83.64,'Very High',74.59,'High',29.83,'Very High',41.81,'High',66.86,'High',': 134.04','Moderate'
Hungary,70.34,'Moderate',66.28,'High',54.07,'Moderate',78.74,'High',37.72,'Very Low',13.22,'High',35.68,'Moderate',46.57,'Moderate',': 143.26','Moderate'
Iceland,126.81,'Very High',74.26,'High',67.63,'High',68.81,'High',81.71,'High',6.39,'Low',21.35,'Very Low',15.84,'Very Low',': 202.04','Very High'
India,86.09,'High',55.67,'Moderate',65.43,'High',64.1,'High',19.93,'Very Low',11.26,'Moderate',46.54,'High',72.89,'High',': 124.70','Moderate'
Indonesia,33.47,'Very Low',54.11,'Moderate',60.84,'High',63.76,'High',25.31,'Very Low',16.65,'Very High',43.11,'High',67.99,'High',': 99.98','Very Low'
Iran,29.9,'Very Low',49.67,'Moderate',52.62,'Moderate',70.99,'High',24.03,'Very Low',20.05,'Very High',46.92,'High',75.24,'High',': 85.42','Very Low'
Iraq,55.15,'Low',57.47,'Moderate',45.9,'Moderate',46.98,'Moderate',26.81,'Very Low',8.17,'Moderate',37.05,'Moderate',71.53,'High',': 107.76','Low'
Ireland,112.53,'Very High',52.53,'Moderate',51.38,'Moderate',87.83,'Very High',60.85,'Moderate',6.58,'Low',37.76,'Moderate',34.79,'Low',': 166.37','Very High'
Isle Of Man,140.64,'Very High',79.57,'High',72.61,'High',0.0,None,62.41,'Moderate',3.63,'Very Low',11.25,'Very Low',18.12,'Very Low',0.0,None
Israel,108.83,'High',68.25,'High',73.34,'High',93.78,'Very High',63.19,'Moderate',13.98,'High',36.61,'Moderate',56.84,'Moderate',': 161.76','Very High'
Italy,87.2,'High',53.03,'Moderate',65.13,'High',90.78,'Very High',52.12,'Low',9.47,'Moderate',32.36,'Low',53.67,'Moderate',': 151.06','High'
Ivory Coast,12.91,'Very Low',43.57,'Moderate',44.44,'Moderate',0.0,None,39.62,'Very Low',41.78,'Very High',43.5,'High',94.87,'Very High',0.0,None
Jamaica,36.87,'Very Low',32.61,'Low',51.52,'Moderate',71.58,'High',49.56,'Low',20.19,'Very High',44.5,'High',66.31,'High',': 83.92','Very Low'
Japan,120.74,'Very High',77.07,'High',79.81,'High',85.26,'Very High',46.99,'Low',12.29,'High',40.33,'Moderate',38.55,'Low',': 184.32','Very High'
Jersey,104.07,'High',74.32,'High',53.94,'Moderate',0.0,None,77.04,'High',13.33,'High',27.0,'Low',26.72,'Low',0.0,None
Jordan,52.44,'Low',59.78,'Moderate',65.23,'High',89.05,'Very High',37.64,'Very Low',6.77,'Low',39.38,'Moderate',77.1,'High',': 125.01','Moderate'
Kazakhstan,51.89,'Low',54.62,'Moderate',60.65,'High',39.78,'Moderate',28.08,'Very Low',10.27,'Moderate',35.62,'Moderate',73.16,'High',': 105.92','Low'
Kenya,35.6,'Very Low',44.24,'Moderate',61.54,'High',99.79,'Very High',28.23,'Very Low',18.77,'Very High',50.59,'High',69.04,'High',': 101.33','Low'
Kiribati,281.83,'Very High',81.86,'Very High',55.56,'Moderate',0.0,None,55.26,'Low',0.0,'Very Low',47.9,'High',106.9,'Very High',0.0,None
Kosovo (Disputed Territory),53.0,'Low',59.2,'Moderate',68.47,'High',76.84,'High',26.04,'Very Low',13.85,'High',24.06,'Very Low',67.84,'High',': 130.09','Moderate'
Kuwait,176.8,'Very High',67.19,'High',57.93,'Moderate',20.22,'Moderate',40.82,'Low',6.69,'Low',35.32,'Moderate',69.37,'High',': 159.55','High'
Kyrgyzstan,35.11,'Very Low',46.17,'Moderate',57.62,'Moderate',58.11,'Moderate',25.72,'Very Low',12.89,'High',37.7,'Moderate',70.38,'High',': 98.32','Very Low'
Laos,32.51,'Very Low',63.72,'High',34.44,'Low',0.0,None,32.57,'Very Low',12.67,'High',22.4,'Very Low',78.51,'High',0.0,None
