pclass,sex,age,sibsp,fare,class,embark_town
2,female,24.0,0,13.0,Second,Southampton
3,male,,0,7.725,Third,Queenstown
3,female,,0,7.75,Third,Queenstown
3,male,16.0,0,8.05,Third,Southampton
3,male,,0,7.75,Third,Queenstown
2,male,36.5,0,26.0,Second,Southampton
3,male,20.5,0,7.25,Third,Southampton
3,male,21.0,0,7.775,Third,Southampton
3,male,20.0,0,7.2292,Third,Cherbourg
1,female,,0,55.0,First,Southampton
1,male,45.0,1,83.475,First,Southampton
2,female,19.0,0,26.0,Second,Southampton
1,male,47.0,0,25.5875,First,Southampton
3,male,38.0,0,8.6625,Third,Southampton
2,male,,0,0.0,Second,Southampton
3,female,39.0,1,31.275,Third,Southampton
3,male,30.0,0,8.05,Third,Southampton
3,male,24.0,0,7.7958,Third,Southampton
1,male,25.0,1,55.4417,First,Cherbourg
1,male,,0,27.7208,First,Cherbourg
3,male,,0,8.05,Third,Southampton
1,male,25.0,1,91.0792,First,Cherbourg
1,female,35.0,0,512.3292,First,Cherbourg
3,female,29.0,0,21.075,Third,Southampton
1,female,45.0,1,164.8667,First,Southampton
1,female,47.0,1,52.5542,First,Southampton
1,female,26.0,0,78.85,First,Southampton
1,male,29.0,0,30.0,First,Southampton
3,male,,0,6.8583,Third,Queenstown
3,male,16.0,0,8.05,Third,Southampton
1,male,51.0,0,61.3792,First,Cherbourg
1,female,58.0,0,146.5208,First,Cherbourg
1,female,15.0,0,211.3375,First,Southampton
1,male,,0,27.7208,First,Cherbourg
3,male,30.0,0,9.5,Third,Southampton
3,female,14.0,0,7.8542,Third,Southampton
3,male,,0,7.775,Third,Southampton
3,male,21.0,0,7.925,Third,Southampton
3,male,21.0,0,7.7333,Third,Queenstown
2,male,18.0,0,11.5,Second,Southampton
3,male,36.0,0,0.0,Third,Southampton
3,male,48.0,0,7.8542,Third,Southampton
2,female,23.0,0,13.7917,Second,Cherbourg
1,male,54.0,0,77.2875,First,Southampton
3,female,,0,7.8292,Third,Queenstown
1,female,21.0,0,77.9583,First,Southampton
3,female,4.0,0,13.4167,Third,Cherbourg
3,male,21.0,0,16.1,Third,Southampton
1,male,56.0,0,26.55,First,Southampton
1,male,22.0,0,135.6333,First,Cherbourg
2,male,,0,0.0,Second,Southampton
3,male,,8,69.55,Third,Southampton
2,male,28.0,0,33.0,Second,Southampton
3,male,19.0,0,10.1708,Third,Southampton
3,male,,0,7.25,Third,Southampton
2,male,21.0,0,73.5,Second,Southampton
3,male,4.0,3,27.9,Third,Southampton
2,male,34.0,0,13.0,Second,Southampton
3,male,26.0,0,18.7875,Third,Cherbourg
3,male,30.0,0,8.05,Third,Southampton
3,male,,0,7.75,Third,Queenstown
1,male,56.0,0,30.6958,First,Cherbourg
3,male,28.5,0,7.2292,Third,Cherbourg
3,male,25.0,0,7.225,Third,Cherbourg
3,male,32.0,0,8.3625,Third,Southampton
1,male,24.0,0,247.5208,First,Cherbourg
2,male,23.0,0,13.0,Second,Southampton
3,female,29.0,1,10.4625,Third,Southampton
1,female,38.0,0,227.525,First,Cherbourg
3,male,26.0,0,7.8958,Third,Southampton
2,female,24.0,1,26.0,Second,Southampton
3,male,,0,7.225,Third,Cherbourg
2,male,24.0,2,73.5,Second,Southampton
3,male,28.0,0,9.5,Third,Southampton
3,male,,0,56.4958,Third,Southampton
3,male,28.0,2,7.925,Third,Southampton
2,female,44.0,1,26.0,Second,Southampton
3,female,15.0,0,8.0292,Third,Queenstown
3,male,36.0,0,7.8958,Third,Southampton
3,male,17.0,1,7.0542,Third,Southampton
3,male,35.0,0,7.8958,Third,Cherbourg
2,female,28.0,0,13.0,Second,Southampton
3,female,24.0,0,8.85,Third,Southampton
3,male,33.0,1,20.525,Third,Southampton
2,male,29.0,1,27.7208,Second,Cherbourg
3,male,34.0,0,8.05,Third,Southampton
3,male,20.0,0,9.5,Third,Southampton
2,male,3.0,1,18.75,Second,Southampton
3,male,30.0,0,7.225,Third,Cherbourg
3,male,16.0,0,7.775,Third,Southampton
3,male,,0,8.05,Third,Southampton
1,female,33.0,1,53.1,First,Southampton
1,male,45.0,0,26.55,First,Southampton
3,male,25.0,0,7.8958,Third,Southampton
1,female,62.0,0,80.0,First,
1,female,16.0,0,86.5,First,Southampton
3,male,17.0,0,8.6625,Third,Southampton
1,male,62.0,0,26.55,First,Southampton
3,male,22.0,0,7.8958,Third,Southampton
2,male,0.83,1,18.75,Second,Southampton
3,male,23.0,0,7.8542,Third,Southampton
3,male,26.0,1,20.575,Third,Southampton
2,male,39.0,0,26.0,Second,Southampton
1,male,38.0,0,0.0,First,Southampton
1,male,50.0,1,106.425,First,Cherbourg
3,male,,0,7.7375,Third,Queenstown
2,female,38.0,0,13.0,Second,Southampton
3,female,31.0,1,18.0,Third,Southampton
2,male,39.0,0,13.0,Second,Southampton
3,male,33.0,0,8.6542,Third,Southampton
2,male,46.0,0,26.0,Second,Southampton
1,male,61.0,0,33.5,First,Southampton
3,female,2.0,4,31.275,Third,Southampton
1,male,,0,39.6,First,Cherbourg
3,male,14.0,5,46.9,Third,Southampton
1,female,48.0,1,39.6,First,Cherbourg
1,female,50.0,0,28.7125,First,Cherbourg
3,male,7.0,4,29.125,Third,Queenstown
3,male,23.0,0,7.8958,Third,Southampton
1,male,,0,0.0,First,Southampton
3,male,10.0,3,27.9,Third,Southampton
3,male,25.0,1,7.775,Third,Southampton
2,female,28.0,0,12.65,Second,Southampton
2,male,,0,15.05,Second,Cherbourg
3,male,27.0,1,14.4542,Third,Cherbourg
3,male,19.0,0,8.05,Third,Southampton
3,male,47.0,0,9.0,Third,Southampton
3,male,30.0,0,7.2292,Third,Cherbourg
3,female,,0,7.75,Third,Queenstown
3,male,,0,7.225,Third,Cherbourg
3,male,19.0,0,7.8958,Third,Southampton
3,male,24.0,0,7.8958,Third,Southampton
3,male,4.0,4,31.275,Third,Southampton
1,female,53.0,2,51.4792,First,Southampton
3,female,,0,7.75,Third,Queenstown
3,male,20.0,0,7.8542,Third,Southampton
3,male,42.0,0,8.6625,Third,Southampton
3,male,3.0,4,31.3875,Third,Southampton
2,male,,0,13.0,Second,Southampton
3,male,30.0,0,7.25,Third,Southampton
2,male,1.0,2,39.0,Second,Southampton
2,male,62.0,0,10.5,Second,Southampton
3,male,,0,8.05,Third,Southampton
1,male,,0,30.6958,First,Cherbourg
2,female,28.0,1,24.0,Second,Cherbourg
1,male,61.0,0,32.3208,First,Southampton
1,male,40.0,0,0.0,First,Southampton
3,male,8.0,4,29.125,Third,Queenstown
2,male,54.0,1,26.0,Second,Southampton
3,female,48.0,1,34.375,Third,Southampton
1,female,36.0,0,71.0,First,Southampton
3,male,70.5,0,7.75,Third,Queenstown
3,female,,0,7.7875,Third,Queenstown
2,female,25.0,1,30.0,Second,Southampton
1,male,,0,50.0,First,Southampton
3,male,21.0,0,8.05,Third,Southampton
3,male,32.0,0,56.4958,Third,Southampton
2,female,22.0,1,29.0,Second,Southampton
2,male,52.0,0,13.0,Second,Southampton
3,male,25.0,0,0.0,Third,Southampton
3,male,,0,7.8958,Third,Southampton
3,male,33.0,0,7.8958,Third,Cherbourg
3,male,19.0,0,0.0,Third,Southampton
1,male,19.0,1,53.1,First,Southampton
3,male,20.0,0,7.925,Third,Southampton
3,female,16.0,0,7.7333,Third,Queenstown
1,male,39.0,0,0.0,First,Southampton
1,female,21.0,2,262.375,First,Cherbourg
1,male,45.5,0,28.5,First,Southampton
3,male,,0,14.5,Third,Southampton
2,female,27.0,1,13.8583,Second,Cherbourg
1,female,24.0,0,69.3,First,Cherbourg
3,female,24.0,1,15.85,Third,Southampton
3,female,18.0,0,7.4958,Third,Southampton
2,female,24.0,0,14.5,Second,Southampton
2,female,34.0,0,10.5,Second,Southampton
2,female,,0,33.0,Second,Southampton
1,female,18.0,1,227.525,First,Cherbourg
3,male,,0,7.3125,Third,Southampton
3,female,22.0,0,7.75,Third,Queenstown
3,female,18.0,2,18.0,Third,Southampton
1,female,30.0,0,56.9292,First,Cherbourg
1,male,29.0,1,66.6,First,Southampton
2,male,21.0,1,11.5,Second,Southampton
3,female,24.0,0,16.7,Third,Southampton
3,male,19.0,0,7.775,Third,Southampton
3,female,29.0,0,15.2458,Third,Cherbourg
1,female,39.0,1,83.1583,First,Cherbourg
2,male,19.0,0,13.0,Second,Southampton
1,male,38.0,1,90.0,First,Southampton
3,male,1.0,4,39.6875,Third,Southampton
3,male,,0,7.8292,Third,Queenstown
2,male,,0,0.0,Second,Southampton
3,male,45.5,0,7.225,Third,Cherbourg
3,female,37.0,0,9.5875,Third,Southampton
3,female,23.0,0,7.925,Third,Southampton
2,male,28.0,0,13.5,Second,Southampton
3,male,39.0,1,31.275,Third,Southampton
3,female,31.0,0,8.6833,Third,Southampton
3,female,1.0,1,11.1333,Third,Southampton
2,male,36.0,0,13.0,Second,Southampton
2,male,18.0,0,11.5,Second,Southampton
1,male,27.0,0,211.5,First,Cherbourg
3,male,51.0,0,7.75,Third,Southampton
3,male,28.0,0,7.7958,Third,Southampton
3,female,26.0,0,7.925,Third,Southampton
2,female,24.0,2,18.75,Second,Southampton
2,female,28.0,0,13.0,Second,Southampton
2,male,2.0,1,26.0,Second,Southampton
3,male,,0,7.8958,Third,Cherbourg
3,male,,0,7.55,Third,Southampton
3,male,59.0,0,7.25,Third,Southampton
3,female,63.0,0,9.5875,Third,Southampton
3,female,22.0,0,7.75,Third,Southampton
3,male,18.0,1,6.4958,Third,Southampton
2,male,32.0,2,73.5,Second,Southampton
1,male,19.0,3,263.0,First,Southampton
2,male,,0,0.0,Second,Southampton
1,female,24.0,0,49.5042,First,Cherbourg
3,male,40.0,1,15.5,Third,Queenstown
2,male,18.0,0,13.0,Second,Southampton
3,male,,0,7.8958,Third,Southampton
3,female,13.0,0,7.2292,Third,Cherbourg
3,male,,0,7.225,Third,Cherbourg
3,male,,0,7.7292,Third,Queenstown
3,female,3.0,3,21.075,Third,Southampton
3,male,51.0,0,8.05,Third,Southampton
3,male,20.0,0,8.05,Third,Southampton
3,male,18.0,1,20.2125,Third,Southampton
2,male,31.0,0,13.0,Second,Southampton
1,female,,0,79.2,First,Cherbourg
3,male,32.0,0,7.925,Third,Southampton
1,male,36.0,1,78.85,First,Southampton
2,female,34.0,1,32.5,Second,Southampton
1,female,22.0,0,49.5,First,Cherbourg
3,male,,0,7.05,Third,Southampton
3,male,,2,21.6792,Third,Cherbourg
1,male,71.0,0,34.6542,First,Cherbourg
1,male,65.0,0,26.55,First,Southampton
3,female,5.0,4,31.3875,Third,Southampton
3,male,22.0,0,7.2292,Third,Cherbourg
1,male,49.0,1,89.1042,First,Cherbourg
1,male,48.0,1,52.0,First,Southampton
1,male,42.0,1,52.5542,First,Southampton
1,female,,1,146.5208,First,Cherbourg
3,female,4.0,0,22.025,Third,Southampton
2,male,52.0,0,13.5,Second,Southampton
3,female,,0,7.2292,Third,Cherbourg
1,male,46.0,1,61.175,First,Southampton
2,male,34.0,0,13.0,Second,Southampton
2,female,27.0,1,21.0,Second,Southampton
3,female,,1,16.1,Third,Southampton
2,male,54.0,0,26.0,Second,Southampton
1,female,18.0,2,262.375,First,Cherbourg
3,male,27.0,0,7.8958,Third,Southampton
2,female,24.0,2,27.0,Second,Southampton
3,male,22.0,0,7.125,Third,Southampton
1,female,29.0,0,211.3375,First,Southampton
1,female,19.0,0,26.2833,First,Southampton
3,male,27.0,0,6.975,Third,Southampton
1,male,0.92,1,151.55,First,Southampton
3,male,45.0,0,6.975,Third,Southampton
3,male,,0,7.8958,Third,Southampton
2,female,6.0,0,33.0,Second,Southampton
2,female,33.0,0,26.0,Second,Southampton
3,male,30.0,0,7.8958,Third,Southampton
1,male,23.0,0,63.3583,First,Cherbourg
2,male,27.0,0,26.0,Second,Southampton
1,female,17.0,1,57.0,First,Southampton
3,male,,0,7.775,Third,Southampton
3,female,28.0,0,7.8958,Third,Southampton
3,female,,0,8.05,Third,Southampton
2,female,17.0,0,12.0,Second,Cherbourg
3,male,25.0,1,17.8,Third,Southampton
1,male,35.0,0,26.2875,First,Southampton
3,male,21.0,0,7.7958,Third,Southampton
3,female,,8,69.55,Third,Southampton
3,male,26.0,0,7.8875,Third,Southampton
2,female,7.0,0,26.25,Second,Southampton
3,male,,0,7.75,Third,Queenstown
1,female,54.0,1,78.2667,First,Cherbourg
3,male,,0,7.2292,Third,Cherbourg
3,male,,0,7.2292,Third,Cherbourg
3,male,21.0,0,8.05,Third,Southampton
3,male,,0,15.5,Third,Queenstown
3,female,14.0,1,11.2417,Third,Cherbourg
3,male,29.0,0,7.775,Third,Southampton
2,female,48.0,1,65.0,Second,Southampton
3,male,19.0,0,7.65,Third,Southampton
3,male,,8,69.55,Third,Southampton
1,female,44.0,0,27.7208,First,Cherbourg
3,male,15.0,1,7.2292,Third,Cherbourg
3,male,12.0,1,11.2417,Third,Cherbourg
3,male,22.0,0,7.5208,Third,Southampton
3,male,38.0,0,7.05,Third,Southampton
3,female,33.0,3,15.85,Third,Southampton
3,female,28.0,1,14.4,Third,Southampton
3,female,45.0,0,7.75,Third,Southampton
3,male,,8,69.55,Third,Southampton
3,male,,1,19.9667,Third,Southampton
3,male,,0,7.2292,Third,Cherbourg
3,female,0.75,2,19.2583,Third,Cherbourg
1,male,,0,25.925,First,Southampton
3,female,22.0,0,7.25,Third,Southampton
1,male,49.0,1,56.9292,First,Cherbourg
3,female,20.0,0,8.6625,Third,Southampton
3,male,,0,7.8958,Third,Southampton
3,male,20.0,0,7.05,Third,Southampton
3,male,31.0,0,7.75,Third,Queenstown
2,male,34.0,1,21.0,Second,Southampton
3,male,,0,7.75,Third,Queenstown
3,male,,0,8.05,Third,Southampton
3,female,21.0,0,7.65,Third,Southampton
3,male,49.0,0,0.0,Third,Southampton
2,male,32.0,1,26.0,Second,Southampton
1,female,19.0,1,91.0792,First,Cherbourg
3,female,,1,15.5,Third,Queenstown
3,female,,1,22.3583,Third,Cherbourg
2,female,22.0,1,41.5792,Second,Cherbourg
2,male,19.0,0,10.5,Second,Southampton
3,male,24.0,1,16.1,Third,Southampton
3,male,31.0,0,7.775,Third,Southampton
3,male,,0,7.2292,Third,Cherbourg
3,female,17.0,4,7.925,Third,Southampton
3,male,31.0,0,7.925,Third,Southampton
3,female,26.0,0,7.8542,Third,Southampton
3,female,27.0,0,7.925,Third,Southampton
3,female,5.0,0,12.475,Third,Southampton
2,female,32.5,0,13.0,Second,Southampton
1,female,,1,82.1708,First,Cherbourg
2,female,45.0,0,13.5,Second,Southampton
3,female,24.0,0,19.2583,Third,Cherbourg
3,male,32.0,0,7.8958,Third,Southampton
3,female,6.0,4,31.275,Third,Southampton
2,female,21.0,0,10.5,Second,Southampton
3,male,28.0,1,15.85,Third,Southampton
2,male,19.0,1,36.75,Second,Southampton
3,female,,0,7.8792,Third,Queenstown
3,male,19.0,0,8.05,Third,Southampton
3,female,9.0,1,15.2458,Third,Cherbourg
3,female,,0,7.75,Third,Queenstown
3,female,,1,16.1,Third,Southampton
3,female,18.0,0,14.4542,Third,Cherbourg
2,male,24.0,0,13.0,Second,Southampton
3,female,22.0,0,9.8375,Third,Southampton
3,male,7.0,4,39.6875,Third,Southampton
2,female,45.0,1,26.25,Second,Southampton
3,male,20.0,1,7.925,Third,Southampton
3,male,36.0,1,24.15,Third,Southampton
2,female,40.0,0,15.75,Second,Southampton
3,male,,0,6.95,Third,Queenstown
2,male,51.0,0,12.525,Second,Southampton
3,male,,1,16.1,Third,Southampton
3,female,,0,7.6292,Third,Queenstown
3,male,21.0,0,7.925,Third,Southampton
2,female,5.0,1,27.75,Second,Southampton
3,male,21.0,0,7.25,Third,Southampton
3,male,28.0,0,7.8958,Third,Southampton
3,female,31.0,1,20.525,Third,Southampton
1,male,,0,30.5,First,Southampton
3,male,43.0,0,8.05,Third,Southampton
3,male,26.0,0,56.4958,Third,Southampton
1,female,60.0,1,75.25,First,Cherbourg
2,male,32.5,1,30.0708,Second,Cherbourg
3,male,25.0,0,7.05,Third,Southampton
3,male,30.0,1,16.1,Third,Southampton
2,male,42.0,0,13.0,Second,Southampton
3,female,,1,14.4583,Third,Cherbourg
3,female,41.0,0,20.2125,Third,Southampton
2,male,25.0,0,13.0,Second,Southampton
3,male,1.0,5,46.9,Third,Southampton
2,male,25.0,0,13.0,Second,Southampton
2,male,48.0,0,13.0,Second,Southampton
3,male,32.0,0,56.4958,Third,Southampton
1,female,23.0,1,113.275,First,Cherbourg
3,male,18.0,0,7.775,Third,Southampton
2,male,25.0,1,41.5792,Second,Cherbourg
3,male,,0,24.15,Third,Queenstown
3,male,22.0,0,7.7958,Third,Southampton
3,male,,0,7.8958,Third,Southampton
3,male,26.0,1,14.4542,Third,Cherbourg
3,male,22.0,0,7.25,Third,Southampton
3,male,37.0,2,7.925,Third,Southampton
2,female,14.0,1,30.0708,Second,Cherbourg
3,female,,0,8.1375,Third,Queenstown
3,male,,0,8.7125,Third,Cherbourg
2,male,50.0,0,13.0,Second,Southampton
1,female,39.0,1,79.65,First,Southampton
2,female,4.0,1,23.0,Second,Southampton
2,male,3.0,1,26.0,Second,Southampton
3,male,3.0,1,15.9,Third,Southampton
3,female,35.0,1,20.25,Third,Southampton
1,female,33.0,0,86.5,First,Southampton
1,male,52.0,1,79.65,First,Southampton
3,male,,0,7.25,Third,Southampton
2,male,35.0,0,26.0,Second,Southampton
1,female,30.0,0,31.0,First,Cherbourg
3,male,,0,8.05,Third,Southampton
3,male,33.0,0,7.8958,Third,Southampton
3,male,34.5,0,6.4375,Third,Cherbourg
3,male,20.0,0,9.8458,Third,Southampton
3,male,26.0,2,8.6625,Third,Southampton
2,male,25.0,0,13.0,Second,Southampton
2,male,35.0,0,10.5,Second,Southampton
2,male,28.0,0,13.0,Second,Southampton
3,male,,0,7.8958,Third,Southampton
2,female,57.0,0,10.5,Second,Southampton
3,female,16.0,0,7.75,Third,Queenstown
1,male,65.0,0,61.9792,First,Cherbourg
3,male,,0,7.2292,Third,Cherbourg
2,male,34.0,1,21.0,Second,Southampton
3,male,45.0,0,8.05,Third,Southampton
3,male,,8,69.55,Third,Southampton
1,female,,0,110.8833,First,Cherbourg
1,female,31.0,1,113.275,First,Cherbourg
3,female,40.0,1,9.475,Third,Southampton
3,male,39.0,0,24.15,Third,Southampton
3,male,18.0,0,7.75,Third,Southampton
3,male,40.0,0,7.225,Third,Cherbourg
2,male,8.0,1,36.75,Second,Southampton
2,female,13.0,0,19.5,Second,Southampton
3,male,,1,19.9667,Third,Southampton
3,male,19.0,0,7.8958,Third,Southampton
2,male,23.0,0,10.5,Second,Southampton
3,male,17.0,1,7.2292,Third,Cherbourg
2,male,31.0,1,26.25,Second,Southampton
2,male,30.0,0,10.5,Second,Southampton
3,female,41.0,0,39.6875,Third,Southampton
2,male,27.0,0,13.0,Second,Southampton
3,male,18.0,0,8.3,Third,Southampton
2,female,33.0,1,27.75,Second,Southampton
3,male,36.0,1,15.55,Third,Southampton
1,male,64.0,0,26.0,First,Southampton
2,female,29.0,1,26.0,Second,Southampton
3,male,25.0,0,7.7417,Third,Queenstown
2,female,55.0,0,16.0,Second,Southampton
1,male,,0,52.0,First,Southampton
3,male,22.0,0,7.8958,Third,Southampton
2,female,35.0,0,21.0,Second,Southampton
3,male,26.0,1,7.8542,Third,Southampton
2,female,18.0,0,13.0,Second,Southampton
1,male,45.0,0,26.55,First,Southampton
1,male,,0,31.0,First,Southampton
1,female,50.0,0,247.5208,First,Cherbourg
